Model,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,Test_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_Specificity,Test_F1,Test_FPR,Test_FNR,Average_Precision,Brier_Score,Interpretability,Selection_Status
Tuned Logistic Regression,0.8795127706780823,0.0463410137703734,0.9273075083692012,0.8260869565217391,0.8301886792452831,0.8627450980392157,0.7804878048780488,0.8461538461538461,0.2195121951219512,0.1372549019607843,0.9452815547773864,0.1372632531588348,High (Direct Log-Odds Coefficients),Rejected
Tuned Support Vector Machine,0.8798720159695769,0.0442171804481942,0.9294595887135342,0.8478260869565217,0.8557692307692307,0.8725490196078431,0.8170731707317073,0.8640776699029126,0.1829268292682926,0.1274509803921568,0.9454976317982896,0.1376323683021624,Moderate-High (Linear Kernel Weights),Selected
