Model,Test_Accuracy,CV_Accuracy_Mean,Accuracy_Gap,Test_F1,CV_F1_Mean,F1_Gap,Test_ROC_AUC,CV_ROC_AUC_Mean,ROC_AUC_Gap
Logistic Regression,0.8369565217391305,0.8161028795079674,0.02085364223116304,0.8543689320388349,0.8369223749181076,0.01744655712072729,0.9277857484457197,0.8792198968350731,0.04856585161064664
K-Nearest Neighbors,0.842391304347826,0.7983692106979777,0.044022093649848326,0.861244019138756,0.8275018133898489,0.033742205748907184,0.8998087039693926,0.8410916755632203,0.05871702840617232
Decision Tree,0.7119565217391305,0.7071288789488398,0.004827642790290687,0.7414634146341463,0.7322585145777916,0.00920490005635477,0.7079148732663797,0.7047476642598595,0.003167209006520233
Random Forest,0.8152173913043478,0.806579069984158,0.008638321320189823,0.8349514563106796,0.8290204595306312,0.005930996780048381,0.9112266857962696,0.8578346174552136,0.05339206834105603
Support Vector Machine,0.8369565217391305,0.8106420650451962,0.026314456693934285,0.8571428571428571,0.8347024506270639,0.022440406515793154,0.9114060258249642,0.8667339084683258,0.04467211735663845
