Model,TN,FP,FN,TP,Recall,Sensitivity,Specificity,False_Negative_Rate,False_Positive_Rate
Logistic Regression,66,16,14,88,0.8627450980392157,0.8627450980392157,0.8048780487804879,0.13725490196078433,0.1951219512195122
K-Nearest Neighbors,65,17,12,90,0.8823529411764706,0.8823529411764706,0.7926829268292683,0.11764705882352941,0.2073170731707317
Decision Tree,55,27,26,76,0.7450980392156863,0.7450980392156863,0.6707317073170732,0.2549019607843137,0.32926829268292684
Random Forest,64,18,16,86,0.8431372549019608,0.8431372549019608,0.7804878048780488,0.1568627450980392,0.21951219512195122
Support Vector Machine,64,18,12,90,0.8823529411764706,0.8823529411764706,0.7804878048780488,0.11764705882352941,0.21951219512195122
