Model,Variant,Model_Variant,Best_Params,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Precision_Mean,CV_Precision_Std,CV_Recall_Mean,CV_Recall_Std,CV_F1_Mean,CV_F1_Std,CV_ROC_AUC_Mean,CV_ROC_AUC_Std
Logistic Regression,Baseline,Logistic Regression (Baseline),Defaults,0.8369565217391305,0.8461538461538461,0.8627450980392157,0.8543689320388349,0.9277857484457196,0.8161028795079674,0.044612088905463,0.828288148675982,0.0549193970513883,0.847244805781391,0.0152107643127557,0.8369223749181076,0.0338471875995376,0.8792198968350731,0.0451909076054885
Logistic Regression,Tuned,Logistic Regression (Tuned),"{'C': 0.1, 'max_iter': 1000, 'solver': 'lbfgs'}",0.8260869565217391,0.8301886792452831,0.8627450980392157,0.8461538461538461,0.9273075083692013,0.8174727425216662,0.0416716052446962,0.8308773889302555,0.04985432683392679,0.8447756699789221,0.01714553436730085,0.8373029880089445,0.032835993004359895,0.8795127706780823,0.04634101377037348
Support Vector Machine,Baseline,Support Vector Machine (Baseline),Defaults,0.8369565217391305,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9114060258249642,0.8106420650451962,0.0406099401940899,0.8161580747703935,0.0573527011610106,0.8571213489912678,0.0128007151464631,0.8347024506270639,0.0274873535592418,0.8667339084683258,0.0472896017343399
Support Vector Machine,Tuned,Support Vector Machine (Tuned),"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.8478260869565217,0.8557692307692307,0.8725490196078431,0.8640776699029126,0.9294595887135342,0.7997763488957228,0.040753497572932576,0.8186559855237172,0.05344500049198481,0.8250828063836193,0.014815426822747299,0.8209757126886098,0.030181211293620964,0.8798720159695769,0.044217180448194233
