Model,TN,FP,FN,TP,Accuracy,Precision,Recall,Sensitivity,Specificity,False_Positive_Rate,False_Negative_Rate,F1
Tuned Logistic Regression,64,18,14,88,0.8260869565217391,0.8301886792452831,0.8627450980392157,0.8627450980392157,0.7804878048780488,0.21951219512195122,0.13725490196078433,0.8461538461538461
Tuned Support Vector Machine,67,15,13,89,0.8478260869565217,0.8557692307692307,0.8725490196078431,0.8725490196078431,0.8170731707317073,0.18292682926829268,0.12745098039215685,0.8640776699029126
