Model,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,Test_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_Specificity,Test_F1,Test_FPR,Test_FNR,Average_Precision,Brier_Score
Tuned Logistic Regression,0.8795127706780823,0.0463410137703734,0.9273075083692013,0.8260869565217391,0.8301886792452831,0.8627450980392157,0.7804878048780488,0.8461538461538461,0.21951219512195122,0.13725490196078433,0.9452815547773865,0.13726325315883484
Tuned Support Vector Machine,0.8798720159695769,0.0442171804481942,0.9294595887135342,0.8478260869565217,0.8557692307692307,0.8725490196078431,0.8170731707317073,0.8640776699029126,0.18292682926829268,0.12745098039215685,0.9454976317982895,0.1376323683021624
