Model,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Precision_Mean,CV_Precision_Std,CV_Recall_Mean,CV_Recall_Std,CV_F1_Mean,CV_F1_Std,CV_ROC_AUC_Mean,CV_ROC_AUC_Std
Logistic Regression,0.8369565217391305,0.8461538461538461,0.8627450980392157,0.8543689320388349,0.9277857484457197,0.8161028795079674,0.044612088905463,0.828288148675982,0.054919397051388305,0.847244805781391,0.015210764312755741,0.8369223749181076,0.033847187599537656,0.8792198968350731,0.04519090760548851
K-Nearest Neighbors,0.842391304347826,0.8411214953271028,0.8823529411764706,0.861244019138756,0.8998087039693926,0.7983692106979777,0.04481472463884265,0.7910139059633854,0.05145982566039538,0.8694971394158386,0.029633423914243895,0.8275018133898489,0.03440283220041995,0.8410916755632203,0.052126000192716695
Decision Tree,0.7119565217391305,0.7378640776699029,0.7450980392156863,0.7414634146341463,0.7079148732663797,0.7071288789488398,0.03297060090318508,0.7389122841784539,0.02574346052813044,0.7265582655826558,0.049217966824551755,0.7322585145777916,0.03604508416274487,0.7047476642598595,0.03164498451691905
Random Forest,0.8152173913043478,0.8269230769230769,0.8431372549019608,0.8349514563106796,0.9112266857962696,0.806579069984158,0.04489538667355021,0.8211185187464082,0.06069253993932909,0.8399277326106596,0.010594083232869428,0.8290204595306312,0.031032325728518974,0.8578346174552136,0.048159958863546355
Support Vector Machine,0.8369565217391305,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9114060258249642,0.8106420650451962,0.04060994019408996,0.8161580747703935,0.057352701161010634,0.8571213489912678,0.01280071514646314,0.8347024506270639,0.027487353559241846,0.8667339084683258,0.04728960173433997
